home_team,away_team,home_goals,away_goals,result,season
West Ham United,Sunderland,0,3,2,4
Wolverhampton Wanderers,Blackburn Rovers,2,3,2,4
Blackburn Rovers,Wolverhampton Wanderers,1,2,2,5
Fulham,Aston Villa,0,0,0,5
Liverpool,Sunderland,1,1,0,5
Queens Park Rangers,Bolton Wanderers,0,4,2,5
Wigan Athletic,Norwich City,1,1,0,5
Newcastle United,Arsenal,0,0,0,5
Stoke City,Chelsea,0,0,0,5
West Bromwich Albion,Manchester United,1,2,2,5
Manchester City,Swansea City,4,0,1,5
Sunderland,Newcastle United,0,1,2,5
Arsenal,Liverpool,0,2,2,5
Aston Villa,Blackburn Rovers,3,1,1,5
Everton,Queens Park Rangers,0,1,2,5
Swansea City,Wigan Athletic,0,0,0,5
Chelsea,West Bromwich Albion,2,1,1,5
Norwich City,Stoke City,1,1,0,5
Wolverhampton Wanderers,Fulham,2,0,1,5
Bolton Wanderers,Manchester City,2,3,2,5
Manchester United,Tottenham Hotspur,3,0,1,5
Aston Villa,Wolverhampton Wanderers,0,0,0,5
Wigan Athletic,Queens Park Rangers,2,0,1,5
Blackburn Rovers,Everton,0,1,2,5
Chelsea,Norwich City,3,1,1,5
Swansea City,Sunderland,0,0,0,5
Liverpool,Bolton Wanderers,3,1,1,5
Newcastle United,Fulham,2,1,1,5
Tottenham Hotspur,Manchester City,1,5,2,5
West Bromwich Albion,Stoke City,0,1,2,5
Manchester United,Arsenal,8,2,1,5
Arsenal,Swansea City,1,0,1,5
Everton,Aston Villa,2,2,0,5
Manchester City,Wigan Athletic,3,0,1,5
Stoke City,Liverpool,1,0,1,5
Sunderland,Chelsea,1,2,2,5
Wolverhampton Wanderers,Tottenham Hotspur,0,2,2,5
Bolton Wanderers,Manchester United,0,5,2,5
Norwich City,West Bromwich Albion,0,1,2,5
Fulham,Blackburn Rovers,1,1,0,5
Queens Park Rangers,Newcastle United,0,0,0,5
Blackburn Rovers,Arsenal,4,3,1,5
Aston Villa,Newcastle United,1,1,0,5
Bolton Wanderers,Norwich City,1,2,2,5
Everton,Wigan Athletic,3,1,1,5
Swansea City,West Bromwich Albion,3,0,1,5
Wolverhampton Wanderers,Queens Park Rangers,0,3,2,5
Tottenham Hotspur,Liverpool,4,0,1,5
Fulham,Manchester City,2,2,0,5
Sunderland,Stoke City,4,0,1,5
Manchester United,Chelsea,3,1,1,5
Manchester City,Everton,2,0,1,5
Arsenal,Bolton Wanderers,3,0,1,5
Chelsea,Swansea City,4,1,1,5
Liverpool,Wolverhampton Wanderers,2,1,1,5
Newcastle United,Blackburn Rovers,3,1,1,5
West Bromwich Albion,Fulham,0,0,0,5
Wigan Athletic,Tottenham Hotspur,1,2,2,5
Stoke City,Manchester United,1,1,0,5
Queens Park Rangers,Aston Villa,1,1,0,5
Norwich City,Sunderland,2,1,1,5
Everton,Liverpool,0,2,2,5
Aston Villa,Wigan Athletic,2,0,1,5
Blackburn Rovers,Manchester City,0,4,2,5
Manchester United,Norwich City,2,0,1,5
Sunderland,West Bromwich Albion,2,2,0,5
Wolverhampton Wanderers,Newcastle United,1,2,2,5
Bolton Wanderers,Chelsea,1,5,2,5
Fulham,Queens Park Rangers,6,0,1,5
Swansea City,Stoke City,2,0,1,5
Tottenham Hotspur,Arsenal,2,1,1,5
Liverpool,Manchester United,1,1,0,5
Manchester City,Aston Villa,4,1,1,5
Norwich City,Swansea City,3,1,1,5
Queens Park Rangers,Blackburn Rovers,1,1,0,5
Stoke City,Fulham,2,0,1,5
Wigan Athletic,Bolton Wanderers,1,3,2,5
Chelsea,Everton,3,1,1,5
West Bromwich Albion,Wolverhampton Wanderers,2,0,1,5
Arsenal,Sunderland,2,1,1,5
Newcastle United,Tottenham Hotspur,2,2,0,5
Wolverhampton Wanderers,Swansea City,2,2,0,5
Aston Villa,West Bromwich Albion,1,2,2,5
Bolton Wanderers,Sunderland,0,2,2,5
Newcastle United,Wigan Athletic,1,0,1,5
Liverpool,Norwich City,1,1,0,5
Arsenal,Stoke City,3,1,1,5
Fulham,Everton,1,3,2,5
Manchester United,Manchester City,1,6,2,5
Blackburn Rovers,Tottenham Hotspur,1,2,2,5
Queens Park Rangers,Chelsea,1,0,1,5
Everton,Manchester United,0,1,2,5
Chelsea,Arsenal,3,5,2,5
Manchester City,Wolverhampton Wanderers,3,1,1,5
Norwich City,Blackburn Rovers,3,3,0,5
Sunderland,Aston Villa,2,2,0,5
Swansea City,Bolton Wanderers,3,1,1,5
Wigan Athletic,Fulham,0,2,2,5
West Bromwich Albion,Liverpool,0,2,2,5
Tottenham Hotspur,Queens Park Rangers,3,1,1,5
Stoke City,Newcastle United,1,3,2,5
Newcastle United,Everton,2,1,1,5
Arsenal,West Bromwich Albion,3,0,1,5
Aston Villa,Norwich City,3,2,1,5
Blackburn Rovers,Chelsea,0,1,2,5
Liverpool,Swansea City,0,0,0,5
Manchester United,Sunderland,1,0,1,5
Queens Park Rangers,Manchester City,2,3,2,5
Wolverhampton Wanderers,Wigan Athletic,3,1,1,5
Bolton Wanderers,Stoke City,5,0,1,5
Fulham,Tottenham Hotspur,1,3,2,5
Norwich City,Arsenal,1,2,2,5
Everton,Wolverhampton Wanderers,2,1,1,5
Manchester City,Newcastle United,3,1,1,5
Stoke City,Queens Park Rangers,2,3,2,5
Sunderland,Fulham,0,0,0,5
West Bromwich Albion,Bolton Wanderers,2,1,1,5
Wigan Athletic,Blackburn Rovers,3,3,0,5
Swansea City,Manchester United,0,1,2,5
Chelsea,Liverpool,1,2,2,5
Tottenham Hotspur,Aston Villa,2,0,1,5
Stoke City,Blackburn Rovers,3,1,1,5
Bolton Wanderers,Everton,0,2,2,5
Chelsea,Wolverhampton Wanderers,3,0,1,5
Manchester United,Newcastle United,1,1,0,5
Norwich City,Queens Park Rangers,2,1,1,5
Sunderland,Wigan Athletic,1,2,2,5
West Bromwich Albion,Tottenham Hotspur,1,3,2,5
Arsenal,Fulham,1,1,0,5
Swansea City,Aston Villa,0,0,0,5
Liverpool,Manchester City,1,1,0,5
Newcastle United,Chelsea,0,3,2,5
Blackburn Rovers,Swansea City,4,2,1,5
Manchester City,Norwich City,5,1,1,5
Queens Park Rangers,West Bromwich Albion,1,1,0,5
Tottenham Hotspur,Bolton Wanderers,3,0,1,5
Wigan Athletic,Arsenal,0,4,2,5
Aston Villa,Manchester United,0,1,2,5
Everton,Stoke City,0,1,2,5
Wolverhampton Wanderers,Sunderland,2,1,1,5
Fulham,Liverpool,1,0,1,5
Arsenal,Everton,1,0,1,5
Bolton Wanderers,Aston Villa,1,2,2,5
Liverpool,Queens Park Rangers,1,0,1,5
Manchester United,Wolverhampton Wanderers,4,1,1,5
Norwich City,Newcastle United,4,2,1,5
Swansea City,Fulham,2,0,1,5
West Bromwich Albion,Wigan Athletic,1,2,2,5
Sunderland,Blackburn Rovers,2,1,1,5
Stoke City,Tottenham Hotspur,2,1,1,5
Chelsea,Manchester City,2,1,1,5
Blackburn Rovers,West Bromwich Albion,1,2,2,5
Everton,Norwich City,1,1,0,5
Fulham,Bolton Wanderers,2,0,1,5
Newcastle United,Swansea City,0,0,0,5
Wolverhampton Wanderers,Stoke City,1,2,2,5
Wigan Athletic,Chelsea,1,1,0,5
Queens Park Rangers,Manchester United,0,2,2,5
Aston Villa,Liverpool,0,2,2,5
Tottenham Hotspur,Sunderland,1,0,1,5
Manchester City,Arsenal,1,0,1,5
Wolverhampton Wanderers,Norwich City,2,2,0,5
Blackburn Rovers,Bolton Wanderers,1,2,2,5
Aston Villa,Arsenal,1,2,2,5
Manchester City,Stoke City,3,0,1,5
Newcastle United,West Bromwich Albion,2,3,2,5
Everton,Swansea City,1,0,1,5
Fulham,Manchester United,0,5,2,5
Queens Park Rangers,Sunderland,2,3,2,5
Wigan Athletic,Liverpool,0,0,0,5
Tottenham Hotspur,Chelsea,1,1,0,5
Chelsea,Fulham,1,1,0,5
Bolton Wanderers,Newcastle United,0,2,2,5
Liverpool,Blackburn Rovers,1,1,0,5
Manchester United,Wigan Athletic,5,0,1,5
Sunderland,Everton,1,1,0,5
West Bromwich Albion,Manchester City,0,0,0,5
Stoke City,Aston Villa,0,0,0,5
Arsenal,Wolverhampton Wanderers,1,1,0,5
Swansea City,Queens Park Rangers,1,1,0,5
Norwich City,Tottenham Hotspur,0,2,2,5
Liverpool,Newcastle United,3,1,1,5
Manchester United,Blackburn Rovers,2,3,2,5
Arsenal,Queens Park Rangers,1,0,1,5
Bolton Wanderers,Wolverhampton Wanderers,1,1,0,5
Chelsea,Aston Villa,1,3,2,5
Norwich City,Fulham,1,1,0,5
Stoke City,Wigan Athletic,2,2,0,5
Swansea City,Tottenham Hotspur,1,1,0,5
West Bromwich Albion,Everton,0,1,2,5
Sunderland,Manchester City,1,0,1,5
Aston Villa,Swansea City,0,2,2,5
Blackburn Rovers,Stoke City,1,2,2,5
Queens Park Rangers,Norwich City,1,2,2,5
Wolverhampton Wanderers,Chelsea,1,2,2,5
Fulham,Arsenal,2,1,1,5
Tottenham Hotspur,West Bromwich Albion,1,0,1,5
Wigan Athletic,Sunderland,1,4,2,5
Manchester City,Liverpool,3,0,1,5
Everton,Bolton Wanderers,1,2,2,5
Newcastle United,Manchester United,3,0,1,5
Tottenham Hotspur,Everton,2,0,1,5
Aston Villa,Everton,1,1,0,5
Blackburn Rovers,Fulham,3,1,1,5
Chelsea,Sunderland,1,0,1,5
Liverpool,Stoke City,0,0,0,5
Manchester United,Bolton Wanderers,3,0,1,5
Tottenham Hotspur,Wolverhampton Wanderers,1,1,0,5
West Bromwich Albion,Norwich City,1,2,2,5
Newcastle United,Queens Park Rangers,1,0,1,5
Swansea City,Arsenal,3,2,1,5
Wigan Athletic,Manchester City,0,1,2,5
Norwich City,Chelsea,0,0,0,5
Everton,Blackburn Rovers,1,1,0,5
Fulham,Newcastle United,5,2,1,5
Queens Park Rangers,Wigan Athletic,3,1,1,5
Stoke City,West Bromwich Albion,1,2,2,5
Sunderland,Swansea City,2,0,1,5
Wolverhampton Wanderers,Aston Villa,2,3,2,5
Bolton Wanderers,Liverpool,3,1,1,5
Manchester City,Tottenham Hotspur,3,2,1,5
Arsenal,Manchester United,1,2,2,5
Swansea City,Chelsea,1,1,0,5
Tottenham Hotspur,Wigan Athletic,3,1,1,5
Wolverhampton Wanderers,Liverpool,0,3,2,5
Everton,Manchester City,1,0,1,5
Manchester United,Stoke City,2,0,1,5
Aston Villa,Queens Park Rangers,2,2,0,5
Blackburn Rovers,Newcastle United,0,2,2,5
Bolton Wanderers,Arsenal,0,0,0,5
Fulham,West Bromwich Albion,1,1,0,5
Sunderland,Norwich City,3,0,1,5
Arsenal,Blackburn Rovers,7,1,1,5
Norwich City,Bolton Wanderers,2,0,1,5
Queens Park Rangers,Wolverhampton Wanderers,1,2,2,5
Stoke City,Sunderland,0,1,2,5
West Bromwich Albion,Swansea City,1,2,2,5
Wigan Athletic,Everton,1,1,0,5
Manchester City,Fulham,3,0,1,5
Newcastle United,Aston Villa,2,1,1,5
Chelsea,Manchester United,3,3,0,5
Liverpool,Tottenham Hotspur,0,0,0,5
Manchester United,Liverpool,2,1,1,5
Blackburn Rovers,Queens Park Rangers,3,2,1,5
Bolton Wanderers,Wigan Athletic,1,2,2,5
Everton,Chelsea,2,0,1,5
Fulham,Stoke City,2,1,1,5
Sunderland,Arsenal,1,2,2,5
Swansea City,Norwich City,2,3,2,5
Tottenham Hotspur,Newcastle United,5,0,1,5
Wolverhampton Wanderers,West Bromwich Albion,1,5,2,5
Aston Villa,Manchester City,0,1,2,5
Chelsea,Bolton Wanderers,3,0,1,5
Newcastle United,Wolverhampton Wanderers,2,2,0,5
Queens Park Rangers,Fulham,0,1,2,5
West Bromwich Albion,Sunderland,4,0,1,5
Wigan Athletic,Aston Villa,0,0,0,5
Manchester City,Blackburn Rovers,3,0,1,5
Arsenal,Tottenham Hotspur,5,2,1,5
Norwich City,Manchester United,1,2,2,5
Stoke City,Swansea City,2,0,1,5
Liverpool,Arsenal,1,2,2,5
Blackburn Rovers,Aston Villa,1,1,0,5
Manchester City,Bolton Wanderers,2,0,1,5
Queens Park Rangers,Everton,1,1,0,5
Stoke City,Norwich City,1,0,1,5
West Bromwich Albion,Chelsea,1,0,1,5
Wigan Athletic,Swansea City,0,2,2,5
Newcastle United,Sunderland,1,1,0,5
Fulham,Wolverhampton Wanderers,5,0,1,5
Tottenham Hotspur,Manchester United,1,3,2,5
Bolton Wanderers,Queens Park Rangers,2,1,1,5
Aston Villa,Fulham,1,0,1,5
Chelsea,Stoke City,1,0,1,5
Sunderland,Liverpool,1,0,1,5
Wolverhampton Wanderers,Blackburn Rovers,0,2,2,5
Everton,Tottenham Hotspur,1,0,1,5
Manchester United,West Bromwich Albion,2,0,1,5
Swansea City,Manchester City,1,0,1,5
Norwich City,Wigan Athletic,1,1,0,5
Arsenal,Newcastle United,2,1,1,5
Liverpool,Everton,3,0,1,5
Fulham,Swansea City,0,3,2,5
Wigan Athletic,West Bromwich Albion,1,1,0,5
Wolverhampton Wanderers,Manchester United,0,5,2,5
Newcastle United,Norwich City,1,0,1,5
Blackburn Rovers,Sunderland,2,0,1,5
Manchester City,Chelsea,2,1,1,5
Tottenham Hotspur,Stoke City,1,1,0,5
Everton,Arsenal,0,1,2,5
Queens Park Rangers,Liverpool,3,2,1,5
Chelsea,Tottenham Hotspur,0,0,0,5
Arsenal,Aston Villa,3,0,1,5
Bolton Wanderers,Blackburn Rovers,2,1,1,5
Liverpool,Wigan Athletic,1,2,2,5
Norwich City,Wolverhampton Wanderers,2,1,1,5
Sunderland,Queens Park Rangers,3,1,1,5
Swansea City,Everton,0,2,2,5
Stoke City,Manchester City,1,1,0,5
West Bromwich Albion,Newcastle United,1,3,2,5
Manchester United,Fulham,1,0,1,5
Aston Villa,Chelsea,2,4,2,5
Everton,West Bromwich Albion,2,0,1,5
Fulham,Norwich City,2,1,1,5
Manchester City,Sunderland,3,3,0,5
Queens Park Rangers,Arsenal,2,1,1,5
Wigan Athletic,Stoke City,2,0,1,5
Wolverhampton Wanderers,Bolton Wanderers,2,3,2,5
Newcastle United,Liverpool,2,0,1,5
Tottenham Hotspur,Swansea City,3,1,1,5
Blackburn Rovers,Manchester United,0,2,2,5
Swansea City,Newcastle United,0,2,2,5
Sunderland,Tottenham Hotspur,0,0,0,5
Bolton Wanderers,Fulham,0,3,2,5
Chelsea,Wigan Athletic,2,1,1,5
Liverpool,Aston Villa,1,1,0,5
Norwich City,Everton,2,2,0,5
West Bromwich Albion,Blackburn Rovers,3,0,1,5
Stoke City,Wolverhampton Wanderers,2,1,1,5
Manchester United,Queens Park Rangers,2,0,1,5
Arsenal,Manchester City,1,0,1,5
Everton,Sunderland,4,0,1,5
Newcastle United,Bolton Wanderers,2,0,1,5
Tottenham Hotspur,Norwich City,1,2,2,5
Aston Villa,Stoke City,1,1,0,5
Fulham,Chelsea,1,1,0,5
Blackburn Rovers,Liverpool,2,3,2,5
Manchester City,West Bromwich Albion,4,0,1,5
Wigan Athletic,Manchester United,1,0,1,5
Wolverhampton Wanderers,Arsenal,0,3,2,5
Queens Park Rangers,Swansea City,3,0,1,5
Norwich City,Manchester City,1,6,2,5
Sunderland,Wolverhampton Wanderers,0,0,0,5
Swansea City,Blackburn Rovers,3,0,1,5
West Bromwich Albion,Queens Park Rangers,1,0,1,5
Manchester United,Aston Villa,4,0,1,5
Arsenal,Wigan Athletic,1,2,2,5
Arsenal,Chelsea,0,0,0,5
Aston Villa,Sunderland,0,0,0,5
Blackburn Rovers,Norwich City,2,0,1,5
Bolton Wanderers,Swansea City,1,1,0,5
Fulham,Wigan Athletic,2,1,1,5
Newcastle United,Stoke City,3,0,1,5
Queens Park Rangers,Tottenham Hotspur,1,0,1,5
Manchester United,Everton,4,4,0,5
Liverpool,West Bromwich Albion,0,1,2,5
Wolverhampton Wanderers,Manchester City,0,2,2,5
Aston Villa,Bolton Wanderers,1,2,2,5
Everton,Fulham,4,0,1,5
Stoke City,Arsenal,1,1,0,5
Sunderland,Bolton Wanderers,2,2,0,5
Swansea City,Wolverhampton Wanderers,4,4,0,5
West Bromwich Albion,Aston Villa,0,0,0,5
Wigan Athletic,Newcastle United,4,0,1,5
Norwich City,Liverpool,0,3,2,5
Chelsea,Queens Park Rangers,6,1,1,5
Tottenham Hotspur,Blackburn Rovers,2,0,1,5
Manchester City,Manchester United,1,0,1,5
Liverpool,Fulham,0,1,2,5
Stoke City,Everton,1,1,0,5
Chelsea,Newcastle United,0,2,2,5
Bolton Wanderers,Tottenham Hotspur,1,4,2,5
Arsenal,Norwich City,3,3,0,5
Newcastle United,Manchester City,0,2,2,5
Aston Villa,Tottenham Hotspur,1,1,0,5
Bolton Wanderers,West Bromwich Albion,2,2,0,5
Fulham,Sunderland,2,1,1,5
Queens Park Rangers,Stoke City,1,0,1,5
Wolverhampton Wanderers,Everton,0,0,0,5
Manchester United,Swansea City,2,0,1,5
Blackburn Rovers,Wigan Athletic,0,1,2,5
Liverpool,Chelsea,4,1,1,5
Chelsea,Blackburn Rovers,2,1,1,5
Everton,Newcastle United,3,1,1,5
Manchester City,Queens Park Rangers,3,2,1,5
Norwich City,Aston Villa,2,0,1,5
Stoke City,Bolton Wanderers,2,2,0,5
Sunderland,Manchester United,0,1,2,5
Swansea City,Liverpool,1,0,1,5
Tottenham Hotspur,Fulham,2,0,1,5
West Bromwich Albion,Arsenal,2,3,2,5
Wigan Athletic,Wolverhampton Wanderers,3,2,1,5
Arsenal,Sunderland,0,0,0,6
Fulham,Norwich City,5,0,1,6
Queens Park Rangers,Swansea City,0,5,2,6
Reading,Stoke City,1,1,0,6
West Bromwich Albion,Liverpool,3,0,1,6
West Ham United,Aston Villa,1,0,1,6
Newcastle United,Tottenham Hotspur,2,1,1,6
Wigan Athletic,Chelsea,0,2,2,6
Manchester City,Southampton,3,2,1,6
Everton,Manchester United,1,0,1,6
Chelsea,Reading,4,2,1,6
Swansea City,West Ham United,3,0,1,6
Aston Villa,Everton,1,3,2,6
Manchester United,Fulham,3,2,1,6
Norwich City,Queens Park Rangers,1,1,0,6
Southampton,Wigan Athletic,0,2,2,6
Tottenham Hotspur,West Bromwich Albion,1,1,0,6
Chelsea,Newcastle United,2,0,1,6
Stoke City,Arsenal,0,0,0,6
Liverpool,Manchester City,2,2,0,6
West Ham United,Fulham,3,0,1,6
Swansea City,Sunderland,2,2,0,6
Tottenham Hotspur,Norwich City,1,1,0,6
West Bromwich Albion,Everton,2,0,1,6
Wigan Athletic,Stoke City,2,2,0,6
Manchester City,Queens Park Rangers,3,1,1,6
Liverpool,Arsenal,0,2,2,6
Newcastle United,Aston Villa,1,1,0,6
Southampton,Manchester United,2,3,2,6
Norwich City,West Ham United,0,0,0,6
Arsenal,Southampton,6,1,1,6
Aston Villa,Swansea City,2,0,1,6
Fulham,West Bromwich Albion,3,0,1,6
Manchester United,Wigan Athletic,4,0,1,6
Queens Park Rangers,Chelsea,0,0,0,6
Stoke City,Manchester City,1,1,0,6
Sunderland,Liverpool,1,1,0,6
Reading,Tottenham Hotspur,1,3,2,6
Everton,Newcastle United,2,2,0,6
Swansea City,Everton,0,3,2,6
Chelsea,Stoke City,1,0,1,6
Southampton,Aston Villa,4,1,1,6
West Bromwich Albion,Reading,1,0,1,6
West Ham United,Sunderland,1,1,0,6
Wigan Athletic,Fulham,1,2,2,6
Liverpool,Manchester United,1,2,2,6
Newcastle United,Norwich City,1,0,1,6
Manchester City,Arsenal,1,1,0,6
Tottenham Hotspur,Queens Park Rangers,2,1,1,6
Arsenal,Chelsea,1,2,2,6
Everton,Southampton,3,1,1,6
Fulham,Manchester City,1,2,2,6
Norwich City,Liverpool,2,5,2,6
Reading,Newcastle United,2,2,0,6
Stoke City,Swansea City,2,0,1,6
Sunderland,Wigan Athletic,1,0,1,6
Manchester United,Tottenham Hotspur,2,3,2,6
Aston Villa,West Bromwich Albion,1,1,0,6
Queens Park Rangers,West Ham United,1,2,2,6
Manchester City,Sunderland,3,0,1,6
Chelsea,Norwich City,4,1,1,6
Swansea City,Reading,2,2,0,6
West Bromwich Albion,Queens Park Rangers,3,2,1,6
Wigan Athletic,Everton,2,2,0,6
West Ham United,Arsenal,1,3,2,6
Southampton,Fulham,2,2,0,6
Liverpool,Stoke City,0,0,0,6
Tottenham Hotspur,Aston Villa,2,0,1,6
Newcastle United,Manchester United,0,3,2,6
Tottenham Hotspur,Chelsea,2,4,2,6
Fulham,Aston Villa,1,0,1,6
Liverpool,Reading,1,0,1,6
Manchester United,Stoke City,4,2,1,6
Swansea City,Wigan Athletic,2,1,1,6
West Bromwich Albion,Manchester City,1,2,2,6
West Ham United,Southampton,4,1,1,6
Norwich City,Arsenal,1,0,1,6
Sunderland,Newcastle United,1,1,0,6
Queens Park Rangers,Everton,1,1,0,6
Aston Villa,Norwich City,1,1,0,6
Arsenal,Queens Park Rangers,1,0,1,6
Reading,Fulham,3,3,0,6
Stoke City,Sunderland,0,0,0,6
Wigan Athletic,West Ham United,2,1,1,6
Manchester City,Swansea City,1,0,1,6
Everton,Liverpool,2,2,0,6
Newcastle United,West Bromwich Albion,2,1,1,6
Southampton,Tottenham Hotspur,1,2,2,6
Chelsea,Manchester United,2,3,2,6
Manchester United,Arsenal,2,1,1,6
Fulham,Everton,2,2,0,6
Norwich City,Stoke City,1,0,1,6
Sunderland,Aston Villa,0,1,2,6
Swansea City,Chelsea,1,1,0,6
Tottenham Hotspur,Wigan Athletic,0,1,2,6
West Ham United,Manchester City,0,0,0,6
Queens Park Rangers,Reading,1,1,0,6
Liverpool,Newcastle United,1,1,0,6
West Bromwich Albion,Southampton,2,0,1,6
Arsenal,Fulham,3,3,0,6
Everton,Sunderland,2,1,1,6
Reading,Norwich City,0,0,0,6
Southampton,Swansea City,1,1,0,6
Stoke City,Queens Park Rangers,1,0,1,6
Wigan Athletic,West Bromwich Albion,1,2,2,6
Aston Villa,Manchester United,2,3,2,6
Manchester City,Tottenham Hotspur,2,1,1,6
Newcastle United,West Ham United,0,1,2,6
Chelsea,Liverpool,1,1,0,6
Arsenal,Tottenham Hotspur,5,2,1,6
Liverpool,Wigan Athletic,3,0,1,6
Manchester City,Aston Villa,5,0,1,6
Newcastle United,Swansea City,1,2,2,6
Queens Park Rangers,Southampton,1,3,2,6
Reading,Everton,2,1,1,6
West Bromwich Albion,Chelsea,2,1,1,6
Norwich City,Manchester United,1,0,1,6
Fulham,Sunderland,1,3,2,6
West Ham United,Stoke City,1,1,0,6
Sunderland,West Bromwich Albion,2,4,2,6
Everton,Norwich City,1,1,0,6
Manchester United,Queens Park Rangers,3,1,1,6
Stoke City,Fulham,1,0,1,6
Wigan Athletic,Reading,3,2,1,6
Aston Villa,Arsenal,0,0,0,6
Swansea City,Liverpool,0,0,0,6
Southampton,Newcastle United,2,0,1,6
Chelsea,Manchester City,0,0,0,6
Tottenham Hotspur,West Ham United,3,1,1,6
Sunderland,Queens Park Rangers,0,0,0,6
Aston Villa,Reading,1,0,1,6
Chelsea,Fulham,0,0,0,6
Everton,Arsenal,1,1,0,6
Southampton,Norwich City,1,1,0,6
Stoke City,Newcastle United,2,1,1,6
Swansea City,West Bromwich Albion,3,1,1,6
Tottenham Hotspur,Liverpool,2,1,1,6
Manchester United,West Ham United,1,0,1,6
Wigan Athletic,Manchester City,0,2,2,6
West Ham United,Chelsea,3,1,1,6
Arsenal,Swansea City,0,2,2,6
Fulham,Tottenham Hotspur,0,3,2,6
Liverpool,Southampton,1,0,1,6
Manchester City,Everton,1,1,0,6
Queens Park Rangers,Aston Villa,1,1,0,6
West Bromwich Albion,Stoke City,0,1,2,6
Reading,Manchester United,3,4,2,6
Norwich City,Sunderland,2,1,1,6
Newcastle United,Wigan Athletic,3,0,1,6
Arsenal,West Bromwich Albion,2,0,1,6
Aston Villa,Stoke City,0,0,0,6
Southampton,Reading,1,0,1,6
Sunderland,Chelsea,1,3,2,6
Swansea City,Norwich City,3,4,2,6
Wigan Athletic,Queens Park Rangers,2,2,0,6
Manchester City,Manchester United,2,3,2,6
Everton,Tottenham Hotspur,2,1,1,6
West Ham United,Liverpool,2,3,2,6
Fulham,Newcastle United,2,1,1,6
Sunderland,Reading,3,0,1,6
Newcastle United,Manchester City,1,3,2,6
Liverpool,Aston Villa,1,3,2,6
Manchester United,Sunderland,3,1,1,6
Norwich City,Wigan Athletic,2,1,1,6
Queens Park Rangers,Fulham,2,1,1,6
Stoke City,Everton,1,1,0,6
Tottenham Hotspur,Swansea City,1,0,1,6
West Bromwich Albion,West Ham United,0,0,0,6
Reading,Arsenal,2,5,2,6
Wigan Athletic,Arsenal,0,1,2,6
Manchester City,Reading,1,0,1,6
Newcastle United,Queens Park Rangers,1,0,1,6
Southampton,Sunderland,0,1,2,6
Tottenham Hotspur,Stoke City,0,0,0,6
West Bromwich Albion,Norwich City,2,1,1,6
West Ham United,Everton,1,2,2,6
Liverpool,Fulham,4,0,1,6
Swansea City,Manchester United,1,1,0,6
Chelsea,Aston Villa,8,0,1,6
Everton,Wigan Athletic,2,1,1,6
Fulham,Southampton,1,1,0,6
Manchester United,Newcastle United,4,3,1,6
Norwich City,Chelsea,0,1,2,6
Queens Park Rangers,West Bromwich Albion,1,2,2,6
Reading,Swansea City,0,0,0,6
Sunderland,Manchester City,1,0,1,6
Aston Villa,Tottenham Hotspur,0,4,2,6
Stoke City,Liverpool,3,1,1,6
Sunderland,Tottenham Hotspur,1,2,2,6
Aston Villa,Wigan Athletic,0,3,2,6
Fulham,Swansea City,1,2,2,6
Manchester United,West Bromwich Albion,2,0,1,6
Norwich City,Manchester City,3,4,2,6
Reading,West Ham United,1,0,1,6
Stoke City,Southampton,3,3,0,6
Arsenal,Newcastle United,7,3,1,6
Everton,Chelsea,1,2,2,6
Queens Park Rangers,Liverpool,0,3,2,6
West Bromwich Albion,Fulham,1,2,2,6
Manchester City,Stoke City,3,0,1,6
Swansea City,Aston Villa,2,2,0,6
Tottenham Hotspur,Reading,3,1,1,6
West Ham United,Norwich City,2,1,1,6
Wigan Athletic,Manchester United,0,4,2,6
Southampton,Arsenal,1,1,0,6
Chelsea,Queens Park Rangers,0,1,2,6
Liverpool,Sunderland,3,0,1,6
Newcastle United,Everton,1,2,2,6
Queens Park Rangers,Tottenham Hotspur,0,0,0,6
Aston Villa,Southampton,0,1,2,6
Everton,Swansea City,0,0,0,6
Fulham,Wigan Athletic,1,1,0,6
Norwich City,Newcastle United,0,0,0,6
Reading,West Bromwich Albion,3,2,1,6
Stoke City,Chelsea,0,4,2,6
Sunderland,West Ham United,3,0,1,6
Manchester United,Liverpool,2,1,1,6
Arsenal,Manchester City,0,2,2,6
Chelsea,Southampton,2,2,0,6
Liverpool,Norwich City,5,0,1,6
Manchester City,Fulham,2,0,1,6
Newcastle United,Reading,1,2,2,6
Swansea City,Stoke City,3,1,1,6
West Ham United,Queens Park Rangers,1,1,0,6
Wigan Athletic,Sunderland,2,3,2,6
West Bromwich Albion,Aston Villa,2,2,0,6
Chelsea,Arsenal,2,1,1,6
Tottenham Hotspur,Manchester United,1,1,0,6
Southampton,Everton,0,0,0,6
Arsenal,West Ham United,5,1,1,6
Aston Villa,Newcastle United,1,2,2,6
Queens Park Rangers,Manchester City,0,0,0,6
Stoke City,Wigan Athletic,2,2,0,6
Sunderland,Swansea City,0,0,0,6
Arsenal,Liverpool,2,2,0,6
Everton,West Bromwich Albion,2,1,1,6
Norwich City,Tottenham Hotspur,1,1,0,6
Fulham,West Ham United,3,1,1,6
Manchester United,Southampton,2,1,1,6
Reading,Chelsea,2,2,0,6
Queens Park Rangers,Norwich City,0,0,0,6
Arsenal,Stoke City,1,0,1,6
Everton,Aston Villa,3,3,0,6
Newcastle United,Chelsea,3,2,1,6
